행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
경기도 용인시 수지구 풍덕천1동(4146551000),17889 ,17889 ,1295 ,1792 ,2582 ,3376 ,2760 ,2756 ,1818 ,988 ,472 ,50 ,0 ,17847 ,17847 ,1186 ,1619 ,2380 ,2889 ,2884 ,2777 ,2040 ,1268 ,690 ,107 ,7 
경기도 용인시 수지구 풍덕천2동(4146552000),20201 ,20201 ,2107 ,2936 ,2384 ,2778 ,4269 ,3213 ,1381 ,680 ,411 ,42 ,0 ,20994 ,20994 ,2088 ,2787 ,2405 ,3105 ,4523 ,2965 ,1377 ,1005 ,647 ,92 ,0 
경기도 용인시 수지구 신봉동(4146553000),19644 ,19644 ,1780 ,2767 ,2180 ,2139 ,3705 ,3344 ,1798 ,1234 ,643 ,54 ,0 ,20976 ,20976 ,1773 ,2702 ,2088 ,2432 ,4318 ,3294 ,1974 ,1600 ,674 ,120 ,1 
경기도 용인시 수지구 죽전1동(4146554000),13899 ,13899 ,1041 ,1804 ,1898 ,1507 ,2414 ,2390 ,1495 ,809 ,499 ,42 ,0 ,14787 ,14787 ,1089 ,1680 ,1817 ,1640 ,2749 ,2502 ,1580 ,1076 ,566 ,82 ,6 
경기도 용인시 수지구 죽전2동(4146555000),9028 ,9028 ,712 ,749 ,1422 ,1581 ,1436 ,1431 ,928 ,503 ,224 ,41 ,1 ,9125 ,9125 ,650 ,719 ,1286 ,1541 ,1468 ,1510 ,977 ,576 ,334 ,60 ,4 
경기도 용인시 수지구 죽전3동(4146555500),12969 ,12969 ,1054 ,1644 ,2033 ,1601 ,2311 ,2140 ,1186 ,661 ,304 ,34 ,1 ,13835 ,13835 ,1038 ,1577 ,2006 ,1767 ,2506 ,2181 ,1378 ,872 ,446 ,61 ,3 
경기도 용인시 수지구 동천동(4146556000),24905 ,24905 ,2831 ,2792 ,2801 ,3524 ,4812 ,3874 ,2415 ,1286 ,522 ,45 ,3 ,25687 ,25687 ,2610 ,2718 ,2752 ,4055 ,4960 ,3750 ,2633 ,1506 ,576 ,121 ,6 
경기도 용인시 수지구 상현1동(4146557000),9619 ,9619 ,913 ,1368 ,1093 ,1023 ,1817 ,1622 ,852 ,605 ,302 ,23 ,1 ,10472 ,10472 ,901 ,1408 ,1123 ,1238 ,2062 ,1581 ,970 ,771 ,332 ,83 ,3 
경기도 용인시 수지구 상현2동(4146558000),15938 ,15938 ,1481 ,2144 ,1853 ,1820 ,3000 ,2565 ,1451 ,1038 ,543 ,41 ,2 ,16924 ,16924 ,1429 ,1996 ,1792 ,2066 ,3243 ,2670 ,1707 ,1311 ,624 ,85 ,1 
경기도 용인시 수지구 상현3동(4146558500),13347 ,13347 ,1208 ,1706 ,1826 ,1928 ,2492 ,2107 ,1122 ,624 ,310 ,24 ,0 ,14297 ,14297 ,1240 ,1597 ,2074 ,2090 ,2676 ,2151 ,1286 ,780 ,343 ,58 ,2 
경기도 용인시 수지구 성복동(4146559000),26320 ,26320 ,2599 ,3402 ,2890 ,2419 ,4846 ,4386 ,2715 ,2043 ,951 ,69 ,0 ,28189 ,28189 ,2469 ,3496 ,2773 ,3118 ,5593 ,4260 ,3096 ,2363 ,863 ,154 ,4 
경기도 파주시 (4148000000),250677 ,250677 ,21826 ,26266 ,32089 ,36571 ,43311 ,41522 ,29074 ,13185 ,6224 ,591 ,18 ,243261 ,243261 ,20869 ,25155 ,27130 ,33196 ,41021 ,38222 ,28818 ,16548 ,10444 ,1806 ,52 
경기도 파주시 문산읍(4148025000),24713 ,24713 ,2124 ,2526 ,3146 ,3954 ,4123 ,3665 ,2883 ,1477 ,732 ,81 ,2 ,23217 ,23217 ,2104 ,2418 ,2301 ,3177 ,3488 ,3324 ,2990 ,1904 ,1341 ,163 ,7 
