행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
서울특별시  (1100000000),4578459 ,4578459 ,283233 ,384269 ,670090 ,712539 ,719904 ,736335 ,610843 ,322970 ,127144 ,10851 ,281 ,4865263 ,4865263 ,268316 ,366618 ,729808 ,713664 ,735678 ,758473 ,681603 ,388581 ,190399 ,31103 ,1020 
서울특별시 종로구 (1111000000),68601 ,68601 ,3302 ,5030 ,10711 ,9604 ,9699 ,12125 ,10148 ,5114 ,2579 ,278 ,11 ,73260 ,73260 ,3213 ,5119 ,11806 ,9755 ,10456 ,12149 ,10035 ,6297 ,3797 ,613 ,20 
서울특별시 종로구 청운효자동(1111051500),5367 ,5367 ,356 ,589 ,718 ,700 ,898 ,847 ,649 ,366 ,222 ,21 ,1 ,6333 ,6333 ,328 ,543 ,746 ,858 ,1154 ,1032 ,758 ,555 ,310 ,47 ,2 
서울특별시 종로구 사직동(1111053000),4045 ,4045 ,257 ,294 ,476 ,618 ,634 ,679 ,564 ,283 ,205 ,33 ,2 ,5083 ,5083 ,264 ,373 ,640 ,827 ,788 ,810 ,637 ,409 ,284 ,51 ,0 
서울특별시 종로구 삼청동(1111054000),1113 ,1113 ,40 ,99 ,136 ,136 ,160 ,178 ,187 ,110 ,53 ,13 ,1 ,1230 ,1230 ,48 ,70 ,147 ,156 ,182 ,185 ,207 ,126 ,97 ,11 ,1 
서울특별시 종로구 부암동(1111055000),4411 ,4411 ,215 ,473 ,594 ,577 ,650 ,764 ,618 ,328 ,174 ,18 ,0 ,4872 ,4872 ,228 ,370 ,579 ,584 ,816 ,891 ,704 ,399 ,241 ,56 ,4 
서울특별시 종로구 평창동(1111056000),8266 ,8266 ,591 ,740 ,1085 ,991 ,1167 ,1441 ,1281 ,610 ,318 ,39 ,3 ,9460 ,9460 ,517 ,788 ,1112 ,1129 ,1434 ,1767 ,1409 ,731 ,469 ,97 ,7 
서울특별시 종로구 무악동(1111057000),3721 ,3721 ,264 ,412 ,402 ,395 ,620 ,724 ,496 ,254 ,141 ,13 ,0 ,4317 ,4317 ,322 ,529 ,450 ,461 ,708 ,710 ,549 ,334 ,223 ,28 ,3 
서울특별시 종로구 교남동(1111058000),4543 ,4543 ,392 ,382 ,532 ,668 ,807 ,787 ,531 ,278 ,156 ,10 ,0 ,5318 ,5318 ,382 ,421 ,600 ,822 ,942 ,834 ,640 ,434 ,218 ,24 ,1 
서울특별시 종로구 가회동(1111060000),1832 ,1832 ,101 ,147 ,209 ,236 ,319 ,323 ,269 ,145 ,78 ,5 ,0 ,2125 ,2125 ,76 ,151 ,245 ,276 ,344 ,359 ,298 ,226 ,122 ,28 ,0 
서울특별시 종로구 종로1.2.3.4가동(1111061500),4082 ,4082 ,91 ,105 ,488 ,544 ,538 ,803 ,891 ,427 ,183 ,10 ,2 ,2656 ,2656 ,79 ,100 ,513 ,394 ,327 ,346 ,413 ,288 ,163 ,33 ,0 
서울특별시 종로구 종로5.6가동(1111063000),2771 ,2771 ,56 ,99 ,551 ,449 ,317 ,507 ,458 ,221 ,104 ,9 ,0 ,2469 ,2469 ,72 ,108 ,634 ,355 ,225 ,374 ,308 ,249 ,127 ,17 ,0 
서울특별시 종로구 이화동(1111064000),3356 ,3356 ,101 ,162 ,723 ,612 ,433 ,531 ,419 ,247 ,113 ,15 ,0 ,3753 ,3753 ,102 ,184 ,854 ,611 ,435 ,529 ,490 ,308 ,214 ,26 ,0 
서울특별시 종로구 혜화동(1111065000),7816 ,7816 ,283 ,645 ,2205 ,1062 ,961 ,1111 ,790 ,463 ,267 ,28 ,1 ,8426 ,8426 ,285 ,641 ,2241 ,954 ,1055 ,1209 ,867 ,661 ,438 ,74 ,1 
서울특별시 종로구 창신제1동(1111067000),2489 ,2489 ,58 ,108 ,306 ,351 ,263 ,509 ,552 ,240 ,95 ,7 ,0 ,2184 ,2184 ,59 ,91 ,288 ,237 ,256 ,412 ,430 ,241 ,151 ,19 ,0 
서울특별시 종로구 창신제2동(1111068000),3969 ,3969 ,100 ,198 ,554 ,511 ,477 ,907 ,730 ,338 ,136 ,18 ,0 ,3757 ,3757 ,83 ,183 ,501 ,390 ,416 ,816 ,691 ,434 ,217 ,26 ,0 
서울특별시 종로구 창신제3동(1111069000),3181 ,3181 ,164 ,235 ,453 ,467 ,418 ,583 ,528 ,218 ,96 ,18 ,1 ,3277 ,3277 ,160 ,220 ,420 ,436 ,425 ,623 ,524 ,267 ,181 ,21 ,0 
서울특별시 종로구 숭인제1동(1111070000),2784 ,2784 ,112 ,173 ,356 ,403 ,432 ,537 ,443 ,228 ,91 ,9 ,0 ,3009 ,3009 ,101 ,183 ,377 ,409 ,412 ,565 ,487 ,284 ,162 ,28 ,1 
서울특별시 종로구 숭인제2동(1111071000),4855 ,4855 ,121 ,169 ,923 ,884 ,605 ,894 ,742 ,358 ,147 ,12 ,0 ,4991 ,4991 ,107 ,164 ,1459 ,856 ,537 ,687 ,623 ,351 ,180 ,27 ,0 
서울특별시 중구 (1114000000),58643 ,58643 ,3059 ,3181 ,8220 ,9921 ,8583 ,9858 ,8958 ,4654 ,1977 ,222 ,10 ,62005 ,62005 ,2931 ,3189 ,9522 ,9942 ,8277 ,9623 ,8982 ,5586 ,3335 ,598 ,20 
서울특별시 중구 소공동(1114052000),1088 ,1088 ,84 ,38 ,114 ,228 ,259 ,166 ,129 ,51 ,17 ,2 ,0 ,1156 ,1156 ,70 ,83 ,156 ,263 ,246 ,153 ,109 ,49 ,23 ,4 ,0 
서울특별시 중구 회현동(1114054000),2349 ,2349 ,90 ,107 ,211 ,253 ,311 ,457 ,542 ,263 ,103 ,12 ,0 ,2207 ,2207 ,84 ,112 ,243 ,283 ,281 ,365 ,416 ,250 ,132 ,38 ,3 
서울특별시 중구 명동(1114055000),1235 ,1235 ,50 ,66 ,159 ,208 ,168 ,209 ,208 ,117 ,43 ,7 ,0 ,1572 ,1572 ,31 ,75 ,197 ,182 ,227 ,248 ,301 ,181 ,109 ,21 ,0 
서울특별시 중구 필동(1114057000),2078 ,2078 ,85 ,93 ,375 ,357 ,248 ,347 ,322 ,157 ,80 ,13 ,1 ,1904 ,1904 ,77 ,99 ,347 ,325 ,219 ,233 ,292 ,158 ,123 ,31 ,0 
서울특별시 중구 장충동(1114058000),2412 ,2412 ,80 ,147 ,682 ,383 ,284 ,308 ,289 ,154 ,77 ,8 ,0 ,2172 ,2172 ,64 ,152 ,537 ,288 ,247 ,292 ,261 ,181 ,130 ,20 ,0 
서울특별시 중구 광희동(1114059000),2608 ,2608 ,60 ,87 ,455 ,522 ,297 ,411 ,434 ,251 ,83 ,8 ,0 ,2588 ,2588 ,53 ,107 ,634 ,428 ,274 ,328 ,368 ,248 ,130 ,18 ,0 
서울특별시 중구 을지로동(1114060500),1018 ,1018 ,18 ,21 ,110 ,175 ,103 ,181 ,251 ,113 ,42 ,4 ,0 ,640 ,640 ,19 ,18 ,124 ,134 ,66 ,60 ,108 ,71 ,34 ,6 ,0 
서울특별시 중구 신당동(1114061500),3761 ,3761 ,111 ,115 ,598 ,662 ,558 ,687 ,580 ,319 ,117 ,12 ,2 ,3893 ,3893 ,140 ,145 ,800 ,655 ,469 ,599 ,530 ,333 ,181 ,41 ,0 
서울특별시 중구 다산동(1114062500),6533 ,6533 ,247 ,395 ,1068 ,1106 ,928 ,1059 ,930 ,547 ,230 ,22 ,1 ,6959 ,6959 ,234 ,343 ,1146 ,1068 ,855 ,1147 ,1075 ,646 ,384 ,59 ,2 
서울특별시 중구 약수동(1114063500),7587 ,7587 ,454 ,465 ,887 ,1094 ,1129 ,1266 ,1229 ,708 ,313 ,41 ,1 ,8825 ,8825 ,478 ,449 ,998 ,1180 ,1212 ,1429 ,1451 ,909 ,600 ,116 ,3 
서울특별시 중구 청구동(1114064500),6285 ,6285 ,341 ,399 ,830 ,1071 ,850 ,1063 ,987 ,467 ,251 ,25 ,1 ,6971 ,6971 ,320 ,393 ,913 ,1061 ,894 ,1150 ,1076 ,670 ,426 ,66 ,2 
서울특별시 중구 신당제5동(1114065000),4920 ,4920 ,252 ,237 ,707 ,848 ,749 ,932 ,701 ,323 ,153 ,17 ,1 ,5241 ,5241 ,257 ,274 ,864 ,867 ,695 ,865 ,678 ,463 ,243 ,32 ,3 
서울특별시 중구 동화동(1114066500),4830 ,4830 ,337 ,399 ,570 ,624 ,696 ,904 ,772 ,357 ,153 ,18 ,0 ,5218 ,5218 ,294 ,380 ,640 ,656 ,738 ,965 ,766 ,424 ,308 ,45 ,2 
서울특별시 중구 황학동(1114067000),5960 ,5960 ,354 ,226 ,862 ,1408 ,928 ,879 ,745 ,409 ,134 ,15 ,0 ,6598 ,6598 ,338 ,227 ,1232 ,1453 ,905 ,895 ,784 ,476 ,236 ,50 ,2 
서울특별시 중구 중림동(1114068000),5979 ,5979 ,496 ,386 ,592 ,982 ,1075 ,989 ,839 ,418 ,181 ,18 ,3 ,6061 ,6061 ,472 ,332 ,691 ,1099 ,949 ,894 ,767 ,527 ,276 ,51 ,3 
서울특별시 용산구 (1117000000),105303 ,105303 ,6176 ,7293 ,14904 ,18787 ,16122 ,17374 ,14148 ,6781 ,3324 ,387 ,7 ,113799 ,113799 ,5928 ,7038 ,17157 ,19134 ,16590 ,17994 ,14847 ,8704 ,5429 ,943 ,35 
서울특별시 용산구 후암동(1117051000),7981 ,7981 ,415 ,619 ,1199 ,1435 ,1185 ,1311 ,1041 ,552 ,203 ,19 ,2 ,8401 ,8401 ,391 ,510 ,1157 ,1308 ,1259 ,1372 ,1191 ,689 ,446 ,72 ,6 
서울특별시 용산구 용산2가동(1117052000),4402 ,4402 ,146 ,242 ,711 ,847 ,678 ,595 ,623 ,373 ,167 ,20 ,0 ,4715 ,4715 ,142 ,220 ,675 ,798 ,603 ,703 ,736 ,498 ,287 ,53 ,0 
서울특별시 용산구 남영동(1117053000),4326 ,4326 ,86 ,136 ,421 ,529 ,585 ,1066 ,981 ,371 ,138 ,12 ,1 ,2785 ,2785 ,72 ,100 ,473 ,484 ,362 ,492 ,408 ,234 ,140 ,18 ,2 
서울특별시 용산구 청파동(1117055500),8895 ,8895 ,286 ,508 ,1611 ,1768 ,1247 ,1462 ,1169 ,552 ,271 ,20 ,1 ,10214 ,10214 ,296 ,527 ,2539 ,1547 ,1221 ,1513 ,1266 ,799 ,445 ,60 ,1 
서울특별시 용산구 원효로제1동(1117056000),7958 ,7958 ,608 ,490 ,1131 ,1893 ,1341 ,1109 ,853 ,354 ,161 ,17 ,1 ,9112 ,9112 ,576 ,461 ,1802 ,2184 ,1338 ,1133 ,893 ,449 ,227 ,46 ,3 
서울특별시 용산구 원효로제2동(1117057000),6453 ,6453 ,388 ,468 ,858 ,1093 ,1030 ,1097 ,870 ,445 ,181 ,23 ,0 ,7241 ,7241 ,418 ,646 ,1021 ,1103 ,1040 ,1167 ,924 ,526 ,340 ,51 ,5 
서울특별시 용산구 효창동(1117058000),5089 ,5089 ,406 ,385 ,754 ,941 ,789 ,813 ,575 ,265 ,144 ,17 ,0 ,5613 ,5613 ,404 ,326 ,838 ,1039 ,847 ,905 ,605 ,396 ,215 ,37 ,1 
서울특별시 용산구 용문동(1117059000),5551 ,5551 ,329 ,357 ,823 ,972 ,813 ,946 ,711 ,411 ,178 ,11 ,0 ,6011 ,6011 ,349 ,320 ,876 ,965 ,824 ,954 ,852 ,551 ,272 ,46 ,2 
서울특별시 용산구 한강로동(1117062500),10112 ,10112 ,648 ,523 ,1419 ,2304 ,1394 ,1587 ,1321 ,575 ,307 ,33 ,1 ,11171 ,11171 ,604 ,471 ,1993 ,2555 ,1465 ,1701 ,1281 ,632 ,393 ,70 ,6 
서울특별시 용산구 이촌제1동(1117063000),11779 ,11779 ,1221 ,1363 ,1247 ,1306 ,1940 ,2079 ,1436 ,680 ,423 ,83 ,1 ,13304 ,13304 ,1102 ,1312 ,1320 ,1687 ,2339 ,2279 ,1477 ,921 ,723 ,140 ,4 
서울특별시 용산구 이촌제2동(1117064000),3764 ,3764 ,237 ,238 ,406 ,636 ,590 ,608 ,587 ,314 ,133 ,15 ,0 ,4289 ,4289 ,256 ,249 ,403 ,665 ,591 ,688 ,743 ,389 ,251 ,54 ,0 
서울특별시 용산구 이태원제1동(1117065000),3035 ,3035 ,98 ,119 ,544 ,618 ,394 ,453 ,468 ,199 ,120 ,22 ,0 ,3084 ,3084 ,113 ,117 ,470 ,491 ,377 ,481 ,524 ,295 ,168 ,47 ,1 
서울특별시 용산구 이태원제2동(1117066000),4051 ,4051 ,192 ,203 ,633 ,821 ,613 ,587 ,519 ,300 ,160 ,23 ,0 ,4717 ,4717 ,187 ,239 ,686 ,834 ,673 ,662 ,656 ,433 ,302 ,44 ,1 
서울특별시 용산구 한남동(1117068500),9414 ,9414 ,576 ,572 ,1203 ,1787 ,1558 ,1470 ,1274 ,635 ,317 ,22 ,0 ,10116 ,10116 ,505 ,549 ,1193 ,1896 ,1591 ,1596 ,1424 ,822 ,455 ,84 ,1 
서울특별시 용산구 서빙고동(1117069000),6093 ,6093 ,359 ,703 ,829 ,706 ,1052 ,1092 ,796 ,309 ,217 ,30 ,0 ,6593 ,6593 ,342 ,712 ,841 ,704 ,1194 ,1154 ,766 ,427 ,389 ,63 ,1 
서울특별시 용산구 보광동(1117070000),6400 ,6400 ,181 ,367 ,1115 ,1131 ,913 ,1099 ,924 ,446 ,204 ,20 ,0 ,6433 ,6433 ,171 ,279 ,870 ,874 ,866 ,1194 ,1101 ,643 ,376 ,58 ,1 
서울특별시 성동구 (1120000000),137075 ,137075 ,9420 ,9250 ,20882 ,22394 ,21282 ,22224 ,18630 ,8937 ,3739 ,305 ,12 ,144619 ,144619 ,8937 ,9368 ,21625 ,23304 ,21115 ,22859 ,19454 ,11126 ,5953 ,849 ,29 
서울특별시 성동구 왕십리제2동(1120052000),7859 ,7859 ,595 ,567 ,1067 ,1376 ,1221 ,1266 ,1060 ,481 ,205 ,20 ,1 ,8442 ,8442 ,570 ,522 ,1237 ,1427 ,1223 ,1362 ,1111 ,642 ,300 ,47 ,1 
서울특별시 성동구 왕십리도선동(1120053500),12479 ,12479 ,1078 ,856 ,1877 ,2022 ,1969 ,2032 ,1594 ,700 ,326 ,25 ,0 ,14014 ,14014 ,1023 ,803 ,2345 ,2385 ,2021 ,2293 ,1627 ,908 ,513 ,95 ,1 
서울특별시 성동구 마장동(1120054000),10903 ,10903 ,548 ,737 ,2150 ,1647 ,1413 ,1708 ,1554 ,784 ,336 ,26 ,0 ,11184 ,11184 ,538 ,777 ,2074 ,1533 ,1374 ,1794 ,1598 ,905 ,516 ,73 ,2 
서울특별시 성동구 사근동(1120055000),6327 ,6327 ,199 ,350 ,2765 ,901 ,580 ,624 ,459 ,289 ,153 ,7 ,0 ,5757 ,5757 ,184 ,420 ,2161 ,697 ,516 ,646 ,489 ,407 ,218 ,19 ,0 
서울특별시 성동구 행당제1동(1120056000),6622 ,6622 ,476 ,459 ,1016 ,1117 ,1014 ,1050 ,862 ,430 ,173 ,24 ,1 ,7138 ,7138 ,447 ,515 ,1147 ,1126 ,1061 ,1150 ,862 ,492 ,287 ,46 ,5 
서울특별시 성동구 행당제2동(1120057000),10766 ,10766 ,801 ,876 ,1294 ,1617 ,1775 ,1937 ,1382 ,757 ,303 ,24 ,0 ,12302 ,12302 ,848 ,1064 ,1418 ,1834 ,1934 ,2010 ,1576 ,1010 ,527 ,77 ,4 
서울특별시 성동구 응봉동(1120058000),7174 ,7174 ,562 ,783 ,830 ,979 ,1310 ,1183 ,810 ,473 ,225 ,19 ,0 ,7861 ,7861 ,481 ,767 ,872 ,1055 ,1439 ,1258 ,948 ,642 ,355 ,44 ,0 
서울특별시 성동구 금호1가동(1120059000),7178 ,7178 ,613 ,546 ,806 ,1115 ,1280 ,1107 ,993 ,499 ,201 ,18 ,0 ,7841 ,7841 ,565 ,524 ,799 ,1263 ,1262 ,1204 ,1177 ,631 ,365 ,49 ,2 
서울특별시 성동구 금호2.3가동(1120061500),10645 ,10645 ,858 ,649 ,1346 ,1883 ,1767 ,1683 ,1426 ,705 ,298 ,27 ,3 ,11654 ,11654 ,792 ,662 ,1292 ,2020 ,1821 ,1860 ,1631 ,961 ,540 ,72 ,3 
서울특별시 성동구 금호4가동(1120062000),6690 ,6690 ,640 ,481 ,688 ,1083 ,1274 ,1048 ,859 ,432 ,171 ,13 ,1 ,7449 ,7449 ,602 ,459 ,690 ,1294 ,1279 ,1068 ,1053 ,629 ,330 ,42 ,3 
서울특별시 성동구 옥수동(1120064500),11901 ,11901 ,1199 ,805 ,1189 ,2034 ,2218 ,1761 ,1544 ,790 ,324 ,35 ,2 ,13704 ,13704 ,1201 ,827 ,1365 ,2492 ,2278 ,2046 ,1885 ,1003 ,522 ,84 ,1 
서울특별시 성동구 성수1가제1동(1120065000),8010 ,8010 ,506 ,526 ,1193 ,1404 ,1102 ,1437 ,1218 ,445 ,164 ,13 ,2 ,8136 ,8136 ,455 ,486 ,1172 ,1445 ,1121 ,1497 ,1167 ,492 ,258 ,42 ,1 
서울특별시 성동구 성수1가제2동(1120066000),5960 ,5960 ,320 ,410 ,865 ,1152 ,884 ,941 ,823 ,397 ,160 ,8 ,0 ,6184 ,6184 ,316 ,382 ,946 ,1125 ,950 ,936 ,840 ,438 ,226 ,25 ,0 
서울특별시 성동구 성수2가제1동(1120067000),7991 ,7991 ,356 ,392 ,1048 ,1356 ,1099 ,1457 ,1479 ,566 ,224 ,13 ,1 ,7345 ,7345 ,330 ,398 ,967 ,1141 ,928 ,1282 ,1303 ,640 ,312 ,41 ,3 
서울특별시 성동구 성수2가제3동(1120069000),5221 ,5221 ,278 ,247 ,857 ,913 ,733 ,863 ,785 ,380 ,154 ,10 ,1 ,5231 ,5231 ,244 ,236 ,980 ,941 ,664 ,807 ,694 ,409 ,227 ,28 ,1 
서울특별시 성동구 송정동(1120072000),5359 ,5359 ,234 ,287 ,818 ,849 ,788 ,969 ,912 ,366 ,125 ,11 ,0 ,4795 ,4795 ,202 ,236 ,803 ,683 ,617 ,840 ,783 ,406 ,193 ,31 ,1 
서울특별시 성동구 용답동(1120079000),5990 ,5990 ,157 ,279 ,1073 ,946 ,855 ,1158 ,870 ,443 ,197 ,12 ,0 ,5582 ,5582 ,139 ,290 ,1357 ,843 ,627 ,806 ,710 ,511 ,264 ,34 ,1 
서울특별시 광진구 (1121500000),162844 ,162844 ,8575 ,12380 ,28371 ,27183 ,24273 ,26055 ,21209 ,10303 ,4136 ,346 ,13 ,175056 ,175056 ,8091 ,12129 ,32363 ,27340 ,25239 ,27310 ,23215 ,12319 ,6066 ,955 ,29 
서울특별시 광진구 화양동(1121571000),11222 ,11222 ,163 ,319 ,4532 ,2442 ,1161 ,1099 ,834 ,450 ,205 ,17 ,0 ,12398 ,12398 ,165 ,425 ,6008 ,2213 ,933 ,926 ,868 ,556 ,258 ,45 ,1 
서울특별시 광진구 군자동(1121573000),9626 ,9626 ,378 ,512 ,2122 ,1848 ,1308 ,1356 ,1205 ,648 ,241 ,8 ,0 ,9814 ,9814 ,351 ,477 ,2237 ,1747 ,1232 ,1332 ,1294 ,708 ,377 ,57 ,2 
서울특별시 광진구 중곡제1동(1121574000),7340 ,7340 ,307 ,358 ,1196 ,1479 ,1033 ,1210 ,1022 ,516 ,207 ,12 ,0 ,7928 ,7928 ,312 ,334 ,1594 ,1490 ,933 ,1198 ,1153 ,607 ,266 ,40 ,1 
서울특별시 광진구 중곡제2동(1121575000),9916 ,9916 ,472 ,655 ,1585 ,1834 ,1444 ,1575 ,1395 ,680 ,261 ,14 ,1 ,11104 ,11104 ,463 ,649 ,1932 ,1944 ,1477 ,1827 ,1591 ,826 ,330 ,65 ,0 
서울특별시 광진구 중곡제3동(1121576000),7884 ,7884 ,359 ,449 ,1179 ,1430 ,1120 ,1357 ,1182 ,579 ,215 ,13 ,1 ,8055 ,8055 ,297 ,425 ,1302 ,1282 ,1044 ,1379 ,1224 ,727 ,331 ,44 ,0 
서울특별시 광진구 중곡제4동(1121577000),13733 ,13733 ,607 ,942 ,2095 ,2066 ,1923 ,2434 ,2166 ,1097 ,381 ,19 ,3 ,14330 ,14330 ,558 ,829 ,2033 ,1962 ,1894 ,2723 ,2421 ,1270 ,562 ,76 ,2 
서울특별시 광진구 능동(1121578000),5155 ,5155 ,253 ,246 ,1007 ,1113 ,804 ,676 ,584 ,315 ,145 ,12 ,0 ,6060 ,6060 ,232 ,250 ,1311 ,1367 ,814 ,752 ,717 ,394 ,195 ,27 ,1 
서울특별시 광진구 광장동(1121581000),16569 ,16569 ,1411 ,2758 ,1934 ,1502 ,3193 ,3003 ,1654 ,708 ,354 ,50 ,2 ,17701 ,17701 ,1294 ,2645 ,1987 ,1900 ,3898 ,2905 ,1655 ,782 ,526 ,103 ,6 
서울특별시 광진구 자양제1동(1121582000),10643 ,10643 ,401 ,774 ,1926 ,1919 ,1594 ,1680 ,1380 ,656 ,290 ,23 ,0 ,11282 ,11282 ,394 ,672 ,2092 ,1787 ,1627 ,1738 ,1574 ,905 ,428 ,64 ,1 
서울특별시 광진구 자양제2동(1121583000),11585 ,11585 ,684 ,903 ,1621 ,1861 ,1829 ,1840 ,1733 ,812 ,275 ,26 ,1 ,12324 ,12324 ,677 ,824 ,1713 ,1808 ,1881 ,2096 ,1932 ,933 ,389 ,70 ,1 
서울특별시 광진구 자양제3동(1121584000),13185 ,13185 ,1092 ,1183 ,1821 ,1792 ,2057 ,2222 ,1809 ,776 ,378 ,53 ,2 ,14401 ,14401 ,996 ,1283 ,1804 ,2085 ,2270 ,2465 ,1921 ,908 ,566 ,100 ,3 
서울특별시 광진구 자양제4동(1121584700),8937 ,8937 ,336 ,396 ,1425 ,1549 ,1210 ,1521 ,1470 ,732 ,281 ,16 ,1 ,8954 ,8954 ,317 ,396 ,1513 ,1346 ,1108 ,1367 ,1542 ,882 ,426 ,57 ,0 
서울특별시 광진구 구의제1동(1121585000),11148 ,11148 ,469 ,594 ,2201 ,2355 ,1641 ,1665 ,1318 ,632 ,246 ,27 ,0 ,12232 ,12232 ,473 ,622 ,2712 ,2295 ,1666 ,1786 ,1434 ,795 ,391 ,55 ,3 
서울특별시 광진구 구의제2동(1121586000),12554 ,12554 ,785 ,1130 ,1712 ,1849 ,2009 ,2165 ,1680 ,875 ,331 ,18 ,0 ,13552 ,13552 ,733 ,1080 ,1774 ,1837 ,2163 ,2353 ,1956 ,1064 ,517 ,70 ,5 
서울특별시 광진구 구의제3동(1121587000),13347 ,13347 ,858 ,1161 ,2015 ,2144 ,1947 ,2252 ,1777 ,827 ,326 ,38 ,2 ,14921 ,14921 ,829 ,1218 ,2351 ,2277 ,2299 ,2463 ,1933 ,962 ,504 ,82 ,3 
서울특별시 동대문구 (1123000000),166113 ,166113 ,9595 ,11602 ,27363 ,25077 ,24956 ,26219 ,23178 ,12448 ,5252 ,412 ,11 ,171160 ,171160 ,9253 ,11289 ,29176 ,23626 ,23479 ,25570 ,24465 ,15263 ,7898 ,1098 ,43 
서울특별시 동대문구 용신동(1123053600),17131 ,17131 ,802 ,830 ,2977 ,3189 ,2545 ,2631 ,2395 ,1162 ,560 ,40 ,0 ,17238 ,17238 ,795 ,766 ,3631 ,3035 ,2216 ,2313 ,2237 ,1384 ,753 ,104 ,4 
서울특별시 동대문구 제기동(1123054500),12419 ,12419 ,450 ,675 ,2424 ,1739 ,1540 ,1956 ,1900 ,1166 ,522 ,45 ,2 ,11865 ,11865 ,432 ,625 ,2157 ,1406 ,1266 ,1718 ,1970 ,1388 ,788 ,108 ,7 
서울특별시 동대문구 전농제1동(1123056000),14333 ,14333 ,809 ,912 ,2241 ,2028 ,2129 ,2453 ,2183 ,1082 ,464 ,32 ,0 ,14398 ,14398 ,806 ,898 ,2211 ,1928 ,1887 ,2319 ,2137 ,1377 ,724 ,102 ,9 
서울특별시 동대문구 전농제2동(1123057000),8754 ,8754 ,566 ,796 ,1051 ,1071 ,1353 ,1545 ,1283 ,691 ,362 ,35 ,1 ,9516 ,9516 ,546 ,823 ,1015 ,1047 ,1454 ,1632 ,1556 ,893 ,497 ,52 ,1 
서울특별시 동대문구 답십리제1동(1123060000),13630 ,13630 ,1267 ,970 ,1749 ,2345 ,2454 ,1984 ,1718 ,802 ,313 ,27 ,1 ,14703 ,14703 ,1243 ,962 ,2179 ,2635 ,2317 ,2061 ,1728 ,964 ,527 ,81 ,6 
서울특별시 동대문구 답십리제2동(1123061000),13489 ,13489 ,849 ,888 ,1669 ,2161 ,1966 ,2309 ,2063 ,1087 ,467 ,29 ,1 ,14366 ,14366 ,855 ,919 ,1636 ,2091 ,1952 ,2411 ,2297 ,1367 ,738 ,100 ,0 
서울특별시 동대문구 장안제1동(1123065000),18827 ,18827 ,1192 ,1310 ,2380 ,3185 ,3207 ,2955 ,2670 ,1433 ,464 ,30 ,1 ,19220 ,19220 ,1086 ,1262 ,2718 ,3014 ,2991 ,2918 ,2893 ,1578 ,659 ,93 ,8 
서울특별시 동대문구 장안제2동(1123066000),16076 ,16076 ,1321 ,1539 ,1882 ,2387 ,2894 ,2480 ,2105 ,1109 ,334 ,25 ,0 ,16306 ,16306 ,1267 ,1298 ,1861 ,2404 ,2808 ,2481 ,2305 ,1246 ,548 ,83 ,5 
서울특별시 동대문구 청량리동(1123070500),9285 ,9285 ,338 ,531 ,1099 ,1132 ,1170 ,1635 ,1870 ,1029 ,434 ,47 ,0 ,9335 ,9335 ,339 ,472 ,982 ,916 ,1055 ,1531 ,1919 ,1316 ,695 ,110 ,0 
서울특별시 동대문구 회기동(1123071000),5093 ,5093 ,178 ,336 ,1634 ,808 ,635 ,603 ,465 ,265 ,156 ,11 ,2 ,5524 ,5524 ,183 ,367 ,1904 ,663 ,619 ,591 ,530 ,378 ,249 ,40 ,0 
서울특별시 동대문구 휘경제1동(1123072000),6620 ,6620 ,378 ,371 ,1562 ,1122 ,876 ,927 ,757 ,415 ,197 ,15 ,0 ,7363 ,7363 ,380 ,404 ,2154 ,1052 ,787 ,983 ,767 ,536 ,259 ,41 ,0 
서울특별시 동대문구 휘경제2동(1123073000),11955 ,11955 ,568 ,986 ,2950 ,1492 ,1634 ,1769 ,1394 ,813 ,319 ,29 ,1 ,11972 ,11972 ,485 ,1051 ,2589 ,1318 ,1649 ,1751 ,1583 ,990 ,495 ,60 ,1 
서울특별시 동대문구 이문제1동(1123074000),9010 ,9010 ,316 ,620 ,2453 ,1239 ,1100 ,1302 ,1034 ,592 ,327 ,26 ,1 ,9163 ,9163 ,297 ,633 ,2667 ,913 ,1031 ,1219 ,1077 ,795 ,470 ,59 ,2 
서울특별시 동대문구 이문제2동(1123075000),9491 ,9491 ,561 ,838 ,1292 ,1179 ,1453 ,1670 ,1341 ,802 ,333 ,21 ,1 ,10191 ,10191 ,539 ,809 ,1472 ,1204 ,1447 ,1642 ,1466 ,1051 ,496 ,65 ,0 
