"	108",서울,2022-08-13,148.6,45,2013-08-06,43.5,2013-08-06
"	108",서울,2022-08-14,172.8,46.5,2014-08-21,25.5,2014-08-10
"	108",서울,2022-08-15,72.9,29,2015-08-16,21.5,2015-08-16
"	108",서울,2022-08-16,67.1,20,2016-08-26,11.5,2016-08-19
"	108",서울,2022-08-17,297,124.5,2017-08-20,35.5,2017-08-15
"	108",서울,2022-08-18,202.6,96.5,2018-08-28,43.5,2018-08-28
"	108",서울,2022-08-19,190.5,56.2,2019-08-12,29.4,2019-08-29
"	108",서울,2022-08-20,675.7,102.6,2020-08-03,32.5,2020-08-30
"	108",서울,2022-08-21,211.2,77.4,2021-08-31,27.9,2021-08-21
"	108",서울,2022-08-22,564.8,129.6,2022-08-08,47.1,2022-08-19
"	108",서울,2022-09-12,212,85.5,2012-09-17,15.5,2012-09-17
"	108",서울,2022-09-13,138.5,50,2013-09-13,13,2013-09-13
"	108",서울,2022-09-14,88.1,57.5,2014-09-03,11.5,2014-09-03
"	108",서울,2022-09-15,26,18,2015-09-03,16.5,2015-09-03
"	108",서울,2022-09-16,33,13.5,2016-09-27,4.5,2016-09-02
"	108",서울,2022-09-17,35,24,2017-09-11,9,2017-09-11
"	108",서울,2022-09-18,68.5,34.5,2018-09-03,20,2018-09-03
"	108",서울,2022-09-19,139.8,63.2,2019-09-10,18.4,2019-09-05
"	108",서울,2022-09-20,181.5,61,2020-09-07,34,2020-09-30
"	108",서울,2022-09-21,131,68.1,2021-09-21,27.1,2021-09-21
"	108",서울,2022-09-22,201.5,120,2022-09-05,12.8,2022-09-05
"	108",서울,2022-10-12,99.3,44,2012-10-27,17,2012-10-22
"	108",서울,2022-10-13,13.5,6.5,2013-10-11,6,2013-10-11
"	108",서울,2022-10-14,52.2,21.5,2014-10-20,6,2014-10-02
"	108",서울,2022-10-15,81.5,35,2015-10-01,16.5,2015-10-01
"	108",서울,2022-10-16,74.8,37,2016-10-25,10,2016-10-25
"	108",서울,2022-10-17,26.5,20,2017-10-11,6,2017-10-11
"	108",서울,2022-10-18,120.5,55.5,2018-10-06,10.5,2018-10-06
"	108",서울,2022-10-19,55.5,25.4,2019-10-07,5.6,2019-10-07
"	108",서울,2022-10-20,0,0,2020-10-22,0,2020-10-22
"	108",서울,2022-10-21,57,14.2,2021-10-10,12.7,2021-10-01
"	108",서울,2022-10-22,124.1,76,2022-10-03,14.7,2022-10-03
"	108",서울,2022-11-12,67.8,28,2012-11-11,,
"	108",서울,2022-11-13,46.8,14,2013-11-24,,
"	108",서울,2022-11-14,41.5,18,2014-11-28,,
"	108",서울,2022-11-15,104.6,24.5,2015-11-07,,
"	108",서울,2022-11-16,16.7,5.5,2016-11-07,,
"	108",서울,2022-11-17,40.7,24,2017-11-25,,
"	108",서울,2022-11-18,79.1,64,2018-11-08,,
"	108",서울,2022-11-19,78.8,21.1,2019-11-17,,
"	108",서울,2022-11-20,120.1,86.9,2020-11-19,,
"	108",서울,2022-11-21,62.4,27.2,2021-11-30,,
"	108",서울,2022-11-22,0,0,2022-11-07,,
"	108",서울,2022-12-12,41.4,18.5,2012-12-14,,
"	108",서울,2022-12-13,24.7,14,2013-12-09,,
"	108",서울,2022-12-14,17.9,10.5,2014-12-15,,
"	108",서울,2022-12-15,29.1,13.5,2015-12-02,,
"	108",서울,2022-12-16,61.1,29,2016-12-21,,
"	108",서울,2022-12-17,34.8,20,2017-12-24,,
"	108",서울,2022-12-18,16.4,9.5,2018-12-03,,
"	108",서울,2022-12-19,22.6,9.8,2019-12-17,,
"	108",서울,2022-12-20,4.6,2.9,2020-12-13,,
"	108",서울,2022-12-21,7.9,2.8,2021-12-18,,
"	",,,,,,,
"	",,,,,,,
"	",,,,,,,
"		",,,,,,,
"	",,,,,,,
"	",,,,,,,
